"Title","Employment rate (aged 16 to 64, seasonally adjusted)"
"CDID","LF24"
"PreUnit",""
"Unit","%"
"Release date","12-06-2018"
"Next release","17 July 2018"
"1995 MAY-JUL","69.5"
"1995 JUN-AUG","69.6"
"1995 JUL-SEP","69.6"
"1995 AUG-OCT","69.7"
"1995 SEP-NOV","69.7"
"1995 OCT-DEC","69.9"
"1995 NOV-JAN","70.0"
"1995 DEC-FEB","69.9"
"1996 JAN-MAR","69.9"
"1996 FEB-APR","69.9"
"1996 MAR-MAY","69.9"
"1996 APR-JUN","69.9"
"1996 MAY-JUL","69.9"
"1996 JUN-AUG","70.0"
"1996 JUL-SEP","70.0"
"1996 AUG-OCT","70.1"
"1996 SEP-NOV","70.3"
"1996 OCT-DEC","70.3"
"1996 NOV-JAN","70.5"
"1996 DEC-FEB","70.6"
"1997 JAN-MAR","70.8"
"1997 FEB-APR","70.9"
"1997 MAR-MAY","70.9"
"1997 APR-JUN","71.0"
"1997 MAY-JUL","70.9"
"1997 JUN-AUG","70.9"
"1997 JUL-SEP","71.1"
"1997 AUG-OCT","71.1"
"1997 SEP-NOV","71.2"
"1997 OCT-DEC","71.2"
"1997 NOV-JAN","71.2"
"1997 DEC-FEB","71.2"
"1998 JAN-MAR","71.3"
"1998 FEB-APR","71.3"
"1998 MAR-MAY","71.3"
"1998 APR-JUN","71.3"
"1998 MAY-JUL","71.4"
"1998 JUN-AUG","71.6"
"1998 JUL-SEP","71.6"
"1998 AUG-OCT","71.6"
"1998 SEP-NOV","71.8"
"1998 OCT-DEC","71.8"
"1998 NOV-JAN","71.9"
"1998 DEC-FEB","71.9"
"1999 JAN-MAR","71.9"
"1999 FEB-APR","71.8"
"1999 MAR-MAY","71.8"
"1999 APR-JUN","71.9"
"1999 MAY-JUL","71.9"
"1999 JUN-AUG","72.0"
"1999 JUL-SEP","72.1"
"1999 AUG-OCT","72.1"
"1999 SEP-NOV","72.2"
"1999 OCT-DEC","72.3"
"1999 NOV-JAN","72.2"
"1999 DEC-FEB","72.2"
"2000 JAN-MAR","72.3"
"2000 FEB-APR","72.3"
"2000 MAR-MAY","72.4"
"2000 APR-JUN","72.5"
"2000 MAY-JUL","72.6"
"2000 JUN-AUG","72.7"
"2000 JUL-SEP","72.6"
"2000 AUG-OCT","72.5"
"2000 SEP-NOV","72.4"
"2000 OCT-DEC","72.5"
"2000 NOV-JAN","72.7"
"2000 DEC-FEB","72.6"
"2001 JAN-MAR","72.6"
"2001 FEB-APR","72.7"
"2001 MAR-MAY","72.7"
"2001 APR-JUN","72.7"
"2001 MAY-JUL","72.6"
"2001 JUN-AUG","72.6"
"2001 JUL-SEP","72.5"
"2001 AUG-OCT","72.5"
"2001 SEP-NOV","72.6"
"2001 OCT-DEC","72.6"
"2001 NOV-JAN","72.5"
"2001 DEC-FEB","72.5"
"2002 JAN-MAR","72.5"
"2002 FEB-APR","72.6"
"2002 MAR-MAY","72.6"
"2002 APR-JUN","72.7"
"2002 MAY-JUL","72.6"
"2002 JUN-AUG","72.7"
"2002 JUL-SEP","72.6"
"2002 AUG-OCT","72.7"
"2002 SEP-NOV","72.8"
"2002 OCT-DEC","72.9"
"2002 NOV-JAN","72.8"
"2002 DEC-FEB","72.6"
"2003 JAN-MAR","72.7"
"2003 FEB-APR","72.7"
"2003 MAR-MAY","72.8"
"2003 APR-JUN","72.9"
"2003 MAY-JUL","72.8"
